Timestep,x,y,z,f_Temp[0],time,laser_x,laser_y
6100000,0.039052,-0.00105025,0.0120348,1000.0,0.0007625,0.03784383487304925,0.005798903221766642
6200000,0.0352663,0.00437095,0.010318,1000.0,0.0007750000000000001,0.03572682690277795,0.007138038449717658
6300000,0.0352663,0.00437095,0.010318,1000.0,0.0007875,0.033289900081666185,0.0074850951441642255
6400000,0.033927,0.0037907,0.0116853,1000.0,0.0008,0.030918657444972526,0.0067918377150496785
6500000,0.0283753,0.00767006,0.0102948,1000.0,0.0008125000000000001,0.028989572927599672,0.005154618377126241
6600000,0.0299225,0.00421177,0.00971762,1000.0,0.0008250000000000001,0.02781766722604561,0.0028009856608808364
6700000,0.0284412,-0.000952537,0.0103042,1000.0,0.0008375,0.027612724723710513,5.8058635507223043e-05
6800000,0.0271444,-0.00280009,0.00980245,1000.0,0.0008500000000000001,0.028450136659520595,-0.002692937655166286
6900000,0.0271444,-0.00280009,0.00980245,1000.0,0.0008625000000000001,0.03026042289496813,-0.005069656662441006
7000000,0.0302999,-0.00749349,0.0111431,1000.0,0.000875,0.03283888859422097,-0.006741770674593503
7100000,0.0340234,-0.00707053,0.0103283,1000.0,0.0008875,0.03587407368597113,-0.007476881333347373
7200000,0.0357445,-0.00605514,0.0104101,1000.0,0.0009000000000000001,0.0389910410655038,-0.0071728194630337645
7300000,0.0370421,-0.00758963,0.0107831,1000.0,0.0009125,0.041803487136777145,-0.005871845028560465
7400000,0.0385252,-0.00777909,0.0121114,1000.0,0.000925,0.04396743212352812,-0.0037547736444931137
7500000,0.0385252,-0.00777909,0.0121114,1000.0,0.0009375000000000001,0.045229028014605405,-0.0011158459609521497
7600000,0.0450441,-0.00373058,0.0122469,1000.0,0.0009500000000000001,0.04545983956790493,0.0016781673014009983
7700000,0.042877,0.000146584,0.0122581,1000.0,0.0009625,0.0446746948511781,0.0042389408905474475
7800000,0.0419908,0.0020434,0.011227,1000.0,0.0009750000000000001,0.04302962436665078,0.006210566313579348
7900000,0.0419086,0.00398365,0.0117052,1000.0,0.0009875,0.04080017518971547,0.007319017691807447
8000000,0.0419086,0.00398365,0.0117052,1000.0,0.001,0.0383431141258431,0.00741023718069646
8100000,0.0352663,0.00437095,0.010318,1000.0,0.0010125000000000002,0.03604684256311316,0.006471546661824702
8200000,0.0352663,0.00437095,0.010318,1000.0,0.001025,0.0342774145999933,0.0046334098080816994
8300000,0.0318303,0.00411274,0.0103097,1000.0,0.0010375,0.03332766110571679,0.0021512996219018874
8400000,0.0310371,0.000257662,0.0100561,1000.0,0.0010500000000000002,0.03337649069332157,-0.0006298084176881269
8500000,0.033006,0.0010528,0.010415,1000.0,0.0010625,0.03446402414968941,-0.0033233826879085606
8600000,0.0357445,-0.00605514,0.0104101,1000.0,0.001075,0.03648601825776368,-0.005555057425572572
8700000,0.0357445,-0.00605514,0.0104101,1000.0,0.0010875000000000001,0.039208354014654806,-0.0070146638614031935
8800000,0.0392126,-0.00875709,0.010508,1000.0,0.0011,0.042299575604172975,-0.007499338950804502
8900000,0.0447067,-0.0067869,0.0101388,1000.0,0.0011125,0.04537695770262415,-0.0069417202446517825
9000000,0.0447067,-0.0067869,0.0101388,1000.0,0.0011250000000000001,0.048059698464605824,-0.005419308242858494
9100000,0.0485773,-0.00374162,0.0102798,1000.0,0.0011375,0.050021845174641436,-0.0031436950062923383
9200000,0.0485773,-0.00374162,0.0102798,1000.0,0.00115,0.051037596705865565,-0.00043115608578690853
9300000,0.0498669,-0.00321696,0.0117157,1000.0,0.0011625000000000001,0.051012686434585466,0.002341306958175142
9400000,0.0494694,0.00206843,0.0105023,1000.0,0.001175,0.04999748386399043,0.00478836402542352
9500000,0.0468216,0.00360755,0.0117127,1000.0,0.0011875,0.048179994031032417,0.0065699114861194905
9600000,0.0468216,0.00360755,0.0117127,1000.0,0.0012000000000000001,0.045859727672205516,0.007438341400823371
9700000,0.0468216,0.00360755,0.0117127,1000.0,0.0012125,0.043406073796862364,0.007272955249584645
9800000,0.0419086,0.00398365,0.0117052,1000.0,0.0012250000000000002,0.041206960245815494,0.006096739186308009
9900000,0.0410886,0.0051181,0.0102767,1000.0,0.0012375,0.039614937634968275,0.004073169313757522
10000000,0.0394391,-0.000406231,0.0101813,1000.0,0.00125,0.03889818019392419,0.0014834909972734416
10100000,0.0394391,-0.000406231,0.0101813,1000.0,0.0012625000000000002,0.03920321363607282,-0.0013123699537550472
10200000,0.0409492,-0.00484367,0.0103775,1000.0,0.001275,0.040534550318040985,-0.003925831486749007
10300000,0.0409492,-0.00484367,0.0103775,1000.0,0.0012875,0.04275406209090721,-0.00599366228777156
10400000,0.0447067,-0.0067869,0.0101388,1000.0,0.0013000000000000002,0.0456001780073005,-0.007228465397130665
10500000,0.0447067,-0.0067869,0.0101388,1000.0,0.0013125,0.04872423869574327,-0.007458622005747454
10600000,0.0457949,-0.00742129,0.0116923,1000.0,0.001325,0.05173895469838444,-0.006652143853491174
10700000,0.0510349,-0.00828554,0.0105999,1000.0,0.0013375000000000001,0.05427223380186812,-0.004921119109713928
10800000,0.054425,-0.00586456,0.0101737,1000.0,0.00135,0.05601889618288164,-0.00250613382636313
10900000,0.0546605,-0.00426546,0.0113516,1000.0,0.0013625,0.05678308975148834,0.0002571658557875982
11000000,0.0570992,-0.000146524,0.0103209,1000.0,0.0013750000000000001,0.05650551060609384,0.002984723404175056
11100000,0.0558816,6.51729e-05,0.0118934,1000.0,0.0013875,0.055271645371749306,0.005297449897982319
11200000,0.0551802,0.00184615,0.0113136,1000.0,0.0014,0.05329988986241262,0.006873911609367263
11300000,0.0499669,0.00529427,0.0107742,1000.0,0.0014125000000000001,0.05091119539199554,0.007495004391753244
11400000,0.0467012,0.00580905,0.0111667,1000.0,0.001425,0.048484461434255624,0.007074405816218062
11500000,0.0448975,0.0036813,0.0123205,1000.0,0.0014375000000000002,0.04640387437182107,0.005670572673230183
11600000,0.0456211,0.00378379,0.0101227,1000.0,0.0014500000000000001,0.04500551144547513,0.0034786163698786827
11700000,0.0456211,0.00378379,0.0101227,1000.0,0.0014625,0.04453063114078988,0.0008031854185319383
11800000,0.0450441,-0.00373058,0.0122469,1000.0,0.0014750000000000002,0.04509214193633368,-0.0019838760623730814
11900000,0.0443379,-0.00354344,0.0103852,1000.0,0.0014875,0.046658909746307195,-0.004495209012467021
12000000,0.0457949,-0.00742129,0.0116923,1000.0,0.0015,0.049060085083867055,-0.006381776434005901
12100000,0.0484439,-0.00528007,0.0115508,1000.0,0.0015125000000000002,0.05200884853539736,-0.0073813742138987394
12200000,0.0529829,-0.00788281,0.0103921,1000.0,0.001525,0.05514227428677751,-0.007355073498433688
12300000,0.0546809,-0.0082806,0.0113711,1000.0,0.0015375,0.05807177127916749,-0.006306529686136893
12400000,0.0570102,-0.00746698,0.010779,1000.0,0.0015500000000000002,0.0604370914425727,-0.004381474383099621
12500000,0.058149,-0.00590603,0.0112954,1000.0,0.0015625,0.061956398686014755,-0.0018474609312386125
12600000,0.0618845,0.00042364,0.0102324,1000.0,0.001575,0.062465439817917565,0.0009433214276941194
12700000,0.0618845,0.00042364,0.0102324,1000.0,0.0015875000000000002,0.06194037323588958,0.003602996488003781
12800000,0.062249,0.00238297,0.0104001,1000.0,0.0016,0.06050108254601898,0.005761909959927518
12900000,0.058917,0.00369924,0.0105073,1000.0,0.0016125,0.0583945145691121,0.007120005780966284
13000000,0.0538083,0.00595423,0.0117718,1000.0,0.0016250000000000001,0.05596035749701539,0.007488529334570216
13100000,0.055197,0.00903458,0.00967378,1000.0,0.0016375,0.053583829412095926,0.0068162614644967905
13200000,0.0499669,0.00529427,0.0107742,1000.0,0.0016500000000000002,0.051642138845989366,0.005196637156752699
13300000,0.0494694,0.00206843,0.0105023,1000.0,0.0016625000000000001,0.050452058543803247,0.0028547595008454577
13400000,0.0489856,-0.00148577,0.0112399,1000.0,0.001675,0.050225898881375186,0.00011611379177388557
13500000,0.0498669,-0.00321696,0.0117157,1000.0,0.0016875000000000002,0.05104199995945366,-0.002638669964335978
13600000,0.0498669,-0.00321696,0.0117157,1000.0,0.0017000000000000001,0.052833843523896654,-0.005026718818825329
13700000,0.054425,-0.00586456,0.0101737,1000.0,0.0017125,0.05539929798900482,-0.006716130383918092
13800000,0.0576876,-0.00918685,0.0115427,1000.0,0.0017250000000000002,0.058428711646675305,-0.007472102205159994
13900000,0.0576876,-0.00918685,0.0115427,1000.0,0.0017375000000000001,0.061547949533551596,-0.007189565723300279
14000000,0.059733,-0.00711776,0.0111452,1000.0,0.00175,0.0643703924876824,-0.005907789202380868
14100000,0.0623728,-0.00567095,0.0112323,1000.0,0.0017625000000000002,0.06655067131847817,-0.0038049200396330593
14200000,0.0644174,-0.00128035,0.0102082,1000.0,0.001775,0.06783266785945558,-0.0011732249929100659
14300000,0.0633074,-0.00429133,0.0123382,1000.0,0.0017875,0.06808511148915843,0.0016215304433913854
14400000,0.0668627,-0.000698049,0.0112704,1000.0,0.0018000000000000002,0.06731982374647362,0.004190917866387143
14500000,0.0666047,0.00127308,0.0119092,1000.0,0.0018125,0.06569007531693138,0.006177831591572076
14600000,0.0649624,0.00475115,0.010935,1000.0,0.001825,0.06346928374384804,0.007306120899309857
14700000,0.0627778,0.00617493,0.0112789,1000.0,0.0018375000000000002,0.061013012557734086,0.007418970775269273
14800000,0.0604804,0.00481929,0.00995825,1000.0,0.00185,0.05870955336570134,0.006500696806955681
14900000,0.058917,0.00369924,0.0105073,1000.0,0.0018625000000000002,0.05692595923712358,0.00467892507795734
15000000,0.0558816,6.5173e-05,0.0118934,1000.0,0.0018750000000000001,0.05595702992228621,0.0022068540878362663
15100000,0.0584396,0.00176447,0.00989014,1000.0,0.0018875,0.05598433918097223,-0.000571935979597352
15200000,0.0556037,-0.00347997,0.00977253,1000.0,0.0019000000000000002,0.05705099879773107,-0.0032712356643587103
15300000,0.0572664,-0.00458006,0.0100859,1000.0,0.0019125000000000001,0.05905566670101452,-0.0055158834579169935
15400000,0.0615634,-0.00727563,0.0103548,1000.0,0.001925,0.06176663196628136,-0.00699390753398492
15500000,0.0615634,-0.00727563,0.0103548,1000.0,0.0019375000000000002,0.06485401910234777,-0.007499885076728859
15600000,0.0672382,-0.00825638,0.0116329,1000.0,0.0019500000000000001,0.06793563571609773,-0.006963492920740329
15700000,0.0672382,-0.00825638,0.0116329,1000.0,0.0019625000000000003,0.07063009142905247,-0.005459281399033781
15800000,0.0699002,-0.00719294,0.0110217,1000.0,0.001975,0.07260980532613077,-0.0031963129831897824
15900000,0.0659481,-0.006781,0.0120313,1000.0,0.0019875,0.07364653470925944,-0.0004891057867169776
16000000,0.0714309,-0.00337941,0.0123836,1000.0,0.002,0.07364309735311367,0.0022860796582666494
16100000,0.073632,-0.00171123,0.0120181,1000.0,0.0020125,0.07264687835300844,0.00474353487934861
16200000,0.0716627,0.00422004,0.0103898,1000.0,0.0020250000000000003,0.07084324431897988,0.006541711061814934
16300000,0.0708935,0.00676696,0.0103204,1000.0,0.0020375000000000002,0.0685297802426862,0.0074306891273851795
16400000,0.0708935,0.00676696,0.0103204,1000.0,0.00205,0.06607492971990074,0.007286914676370812
16500000,0.0649624,0.00475115,0.010935,1000.0,0.0020625,0.06386678690718904,0.0061303701657903125
16600000,0.062249,0.00238297,0.0104001,1000.0,0.002075,0.062259157350185404,0.004121797652452674
16700000,0.0618845,0.00042364,0.0102324,1000.0,0.0020875,0.06152238440609949,0.0015403580973846831
16800000,0.0618845,0.00042364,0.0102324,1000.0,0.0021000000000000003,0.06180577563813089,-0.0012551677522710772
16900000,0.0618845,0.00042364,0.0102324,1000.0,0.0021125000000000002,0.06311685134020265,-0.0038762444179182534
17000000,0.0623728,-0.00567095,0.0112323,1000.0,0.002125,0.06532029933074407,-0.005958582198264916
17100000,0.0672382,-0.00825638,0.0116329,1000.0,0.0021375,0.06815678128325382,-0.00721276788463482
17200000,0.0672382,-0.00825638,0.0116329,1000.0,0.00215,0.0712789768003757,-0.007464488785209205
17300000,0.0699002,-0.00719294,0.0110217,1000.0,0.0021625,0.07429985565463985,-0.006678759531997495
17400000,0.0727051,-0.00701913,0.011036,1000.0,0.0021750000000000003,0.07684646909026031,-0.004964784513677094
17500000,0.0742721,-0.0053788,0.012183,1000.0,0.0021875,0.07861178401502342,-0.0025607801302601715
17600000,0.0798881,-0.00124853,0.0101811,1000.0,0.0022,0.07939735591974763,0.00019913365517977666
17700000,0.0799341,0.00105791,0.0103243,1000.0,0.0022125,0.07914090964000572,0.002931370898108253
17800000,0.0793275,7.46672e-05,0.0119569,1000.0,0.002225,0.07792499465466891,0.005256192271503575
17900000,0.0782226,0.00203474,0.0118551,1000.0,0.0022375000000000003,0.07596551196671333,0.006850483043633143
18000000,0.0772685,0.00379212,0.0118918,1000.0,0.0022500000000000003,0.07358170715496366,0.007492661100259768
18100000,0.0708935,0.00676696,0.0103204,1000.0,0.0022625,0.07115180010515984,0.007093473480762132
18200000,0.0716627,0.00422004,0.0103898,1000.0,0.002275,0.06906041821135665,0.005708401179104313
18300000,0.0696503,0.00330147,0.0100921,1000.0,0.0022875,0.06764513903134321,0.003529948131417479
18400000,0.0649839,0.000210938,0.0114145,1000.0,0.0023,0.06714957215208296,0.0008608861033738785
18500000,0.0676753,-0.00361774,0.0120145,1000.0,0.0023125000000000003,0.06768950117066769,-0.0019278259698420092
18600000,0.0676679,-0.00280311,0.010188,1000.0,0.0023250000000000002,0.06923679153930655,-0.004448599620690751
18700000,0.0699002,-0.00719294,0.0110217,1000.0,0.0023375,0.07162330083859085,-0.006351085737935882
18800000,0.0730549,-0.010374,0.0120116,1000.0,0.00235,0.07456424801065868,-0.007370867752445201
18900000,0.0730549,-0.010374,0.0120116,1000.0,0.0023625,0.07769779358508463,-0.0073662115095800154
19000000,0.0781729,-0.00867793,0.0113643,1000.0,0.002375,0.08063532984945193,-0.006337764156119638
19100000,0.0809812,-0.00623363,0.0103353,1000.0,0.0023875000000000003,0.0830154913975104,-0.004428464196723878
19200000,0.0824739,-0.00569147,0.0115511,1000.0,0.0024000000000000002,0.08455437941205413,-0.001903675220715247
19300000,0.0839211,-0.00211739,0.0103276,1000.0,0.0024125,0.08508501927280995,0.0008856955916816744
19400000,0.0823517,-0.00204234,0.011565,1000.0,0.002425,0.0845805674833229,0.0035519682182231175
19500000,0.0842165,-0.00119464,0.0120772,1000.0,0.0024375,0.08315804250776626,0.005724571408012151
19600000,0.0830391,0.00245382,0.0118193,1000.0,0.0024500000000000004,0.08106206098823024,0.007101546436450149
19700000,0.0774918,0.00696255,0.0102364,1000.0,0.0024625000000000003,0.07863083976036497,0.007491514764949975
19800000,0.0774918,0.00696255,0.0102364,1000.0,0.002475,0.07624918886894294,0.006840276740459078
19900000,0.0774918,0.00696255,0.0102364,1000.0,0.0024875,0.07429502883761226,0.0052383445210234065
20000000,0.0717998,0.000964014,0.0122999,1000.0,0.0025,0.07308686547706437,0.0029083622655707046
20100000,0.073632,-0.00171123,0.0120181,1000.0,0.0025125,0.07283952243259423,0.00017416198976800694
20200000,0.0742721,-0.0053788,0.012183,1000.0,0.0025250000000000003,0.07363428397213845,-0.0025842441477177147
20300000,0.0742721,-0.0053788,0.012183,1000.0,0.0025375000000000003,0.075407597712115,-0.004983479742435152
20400000,0.0796436,-0.00732262,0.0113476,1000.0,0.00255,0.07795990742995997,-0.00669008762024529
20500000,0.0809812,-0.00623363,0.0103353,1000.0,0.0025625,0.08098338833706392,-0.007466875301363845
20600000,0.0809812,-0.00623363,0.0103353,1000.0,0.002575,0.08410473003196131,-0.007205881139330442
20700000,0.0829346,-0.00751824,0.01075,1000.0,0.0025875,0.08693702095545594,-0.00594337934411849
20800000,0.0847605,-0.00757849,0.0115754,1000.0,0.0026000000000000003,0.08913352319933748,-0.0038548384199064006
20900000,0.088398,-0.00346205,0.0103149,1000.0,0.0026125000000000002,0.0904358637900104,-0.0012305337178082302
21000000,0.0889467,-0.000130743,0.0100869,1000.0,0.002625,0.09070994459323206,0.001564796413024986
21100000,0.0889467,-0.000130743,0.0100869,1000.0,0.0026375,0.0899645799106035,0.004142643695929934
21200000,0.0917885,0.000875451,0.0123591,1000.0,0.00265,0.0883502714260108,0.00614472665483462
21300000,0.0874158,0.00603941,0.0101338,1000.0,0.0026625000000000004,0.08613829076578595,0.007292786277852836
21400000,0.0819249,0.00434882,0.0123152,1000.0,0.0026750000000000003,0.08368297687786436,0.00742725977820452
21500000,0.0819249,0.00434882,0.0123152,1000.0,0.0026875000000000002,0.08137248831950196,0.006529457389231358
21600000,0.080439,0.00265958,0.0114105,1000.0,0.0027,0.07957485513483775,0.004724159957058383
21700000,0.0799341,0.00105791,0.0103243,1000.0,0.0027125,0.07858682828894434,0.0022622763051201966
21800000,0.0798881,-0.00124853,0.0101811,1000.0,0.002725,0.07859263580730212,-0.0005140292674864407
21900000,0.0798881,-0.00124853,0.0101811,1000.0,0.0027375000000000003,0.0796383778885974,-0.0032188926076845673
22000000,0.0809812,-0.00623363,0.0103353,1000.0,0.0027500000000000003,0.08162561967984816,-0.005476378943648842
22100000,0.0809812,-0.00623363,0.0103353,1000.0,0.0027625,0.08432507222044497,-0.0069727320874061055
22200000,0.0829346,-0.00751824,0.01075,1000.0,0.002775,0.08740846011243542,-0.007499981762119115
